"x" "y"
"1" 334370 4809000
"2" 334390 4809000
"3" 334410 4809000
"4" 334430 4809000
"5" 334450 4809000
"6" 334470 4809000
"7" 334490 4809000
"8" 334510 4809000
"9" 334530 4809000
"10" 334550 4809000
"11" 334570 4809000
"12" 334590 4809000
"13" 334610 4809000
"14" 334630 4809000
"15" 334650 4809000
"16" 334670 4809000
"17" 334690 4809000
"18" 334710 4809000
"19" 334730 4809000
"20" 334750 4809000
"21" 334770 4809000
"22" 334790 4809000
"23" 334810 4809000
"24" 334830 4809000
"25" 334850 4809000
"26" 334870 4809000
"27" 334890 4809000
"28" 334350 4808980
"29" 334370 4808980
"30" 334390 4808980
"31" 334410 4808980
"32" 334430 4808980
"33" 334450 4808980
"34" 334470 4808980
"35" 334490 4808980
"36" 334510 4808980
"37" 334530 4808980
"38" 334550 4808980
"39" 334570 4808980
"40" 334590 4808980
"41" 334610 4808980
"42" 334630 4808980
"43" 334650 4808980
"44" 334670 4808980
"45" 334690 4808980
"46" 334710 4808980
"47" 334730 4808980
"48" 334750 4808980
"49" 334770 4808980
"50" 334790 4808980
"51" 334810 4808980
"52" 334830 4808980
"53" 334850 4808980
"54" 334870 4808980
"55" 334890 4808980
"56" 334910 4808980
"57" 334930 4808980
"58" 334330 4808960
"59" 334350 4808960
"60" 334370 4808960
"61" 334390 4808960
"62" 334410 4808960
"63" 334430 4808960
"64" 334450 4808960
"65" 334470 4808960
"66" 334490 4808960
"67" 334510 4808960
"68" 334530 4808960
"69" 334550 4808960
"70" 334570 4808960
"71" 334590 4808960
"72" 334610 4808960
"73" 334630 4808960
"74" 334650 4808960
"75" 334670 4808960
"76" 334690 4808960
"77" 334710 4808960
"78" 334730 4808960
"79" 334750 4808960
"80" 334770 4808960
"81" 334790 4808960
"82" 334810 4808960
"83" 334830 4808960
"84" 334850 4808960
"85" 334870 4808960
"86" 334890 4808960
"87" 334910 4808960
"88" 334930 4808960
"89" 334950 4808960
"90" 334970 4808960
"91" 334990 4808960
"92" 335010 4808960
"93" 334290 4808940
"94" 334310 4808940
"95" 334330 4808940
"96" 334350 4808940
"97" 334370 4808940
"98" 334390 4808940
"99" 334410 4808940
"100" 334430 4808940
"101" 334450 4808940
"102" 334470 4808940
"103" 334490 4808940
"104" 334510 4808940
"105" 334530 4808940
"106" 334550 4808940
"107" 334570 4808940
"108" 334590 4808940
"109" 334610 4808940
"110" 334630 4808940
"111" 334650 4808940
"112" 334670 4808940
"113" 334690 4808940
"114" 334710 4808940
"115" 334730 4808940
"116" 334750 4808940
"117" 334770 4808940
"118" 334790 4808940
"119" 334810 4808940
"120" 334830 4808940
"121" 334850 4808940
"122" 334870 4808940
"123" 334890 4808940
"124" 334910 4808940
"125" 334930 4808940
"126" 334950 4808940
"127" 334970 4808940
"128" 334990 4808940
"129" 335010 4808940
"130" 335030 4808940
"131" 335050 4808940
"132" 335070 4808940
"133" 335090 4808940
"134" 335110 4808940
"135" 334270 4808920
"136" 334290 4808920
"137" 334310 4808920
"138" 334330 4808920
"139" 334350 4808920
"140" 334370 4808920
"141" 334390 4808920
"142" 334410 4808920
"143" 334430 4808920
"144" 334450 4808920
"145" 334470 4808920
"146" 334490 4808920
"147" 334510 4808920
"148" 334530 4808920
"149" 334550 4808920
"150" 334570 4808920
"151" 334590 4808920
"152" 334610 4808920
"153" 334630 4808920
"154" 334650 4808920
"155" 334670 4808920
"156" 334690 4808920
"157" 334710 4808920
"158" 334730 4808920
"159" 334750 4808920
"160" 334770 4808920
"161" 334790 4808920
"162" 334810 4808920
"163" 334830 4808920
"164" 334850 4808920
"165" 334870 4808920
"166" 334890 4808920
"167" 334910 4808920
"168" 334930 4808920
"169" 334950 4808920
"170" 334970 4808920
